subDomainId,domainId,name,description,keywords,examples,soleAuthority,gapRisk,phase,case,referenceSource
D-04.3,D-04,Incident Response,Structured response to security incidents,"incident response,playbook,CSIRT",Follow incident response playbook,Develop incident response procedures,GDPR,NIS2,case1,Methodology class diagram
D-04.4,D-04,Lessons Learned,Documenting and learning from incidents,"lessons learned,documentation,continuous improvement",Post-incident review,Conduct post-incident analysis,GDPR,NIS2,case1,Methodology class diagram
D-05.1,D-05,Data Minimisation,Collecting only necessary personal data,"data minimisation,least collection,privacy by design",Collect only required data,Implement data collection policy,GDPR,AI Act,case1,Methodology class diagram
D-05.2,D-05,Purpose Limitation,Using personal data only for specified purposes,"purpose limitation,specified purpose,consent",Use data only for stated purpose,Obtain explicit consent,GDPR,AI Act,case1,Methodology class diagram
D-05.3,D-05,Storage Limitation,Storing personal data only for necessary duration,"storage limitation,data retention,deletion",Delete after purpose completed,Implement data retention policy,GDPR,AI Act,case1,Methodology class diagram
D-05.4,D-05,Right to Erasure,Enabling deletion of personal data upon request,"right to erasure,deletion,DSAR",Process DSARs within 30 days,Implement DSAR workflow,GDPR,MEDIUM,case1,Methodology class diagram
D-06.1,D-06,Third-Party Risk Assessment,Assessing security of third-party vendors,"third-party risk,vendor assessment,questionnaire",Conduct vendor security assessments,Implement vendor risk process,DORA,CRA,case1,Methodology class diagram
D-06.2,D-06,Vendor Management,Managing security requirements for vendors,"vendor management,SLA,contract",Include security in vendor contracts,Establish vendor security SLAs,DORA,CRA,case1,Methodology class diagram
D-06.3,D-06,Supply Chain Security,Securing the software supply chain,"supply chain,SBOM,dependency",Maintain SBOM for dependencies,Track all dependencies,DORA,CRA,case1,Methodology class diagram
D-06.4,D-06,Incident Coordination,Coordinating incident response with third parties,"incident coordination,communication,playbook",Establish incident communication plan,DORA,CRA,MEDIUM,case1,Methodology class diagram
D-07.1,D-07,Secure Coding,Following secure coding practices,"secure coding,code review,training",Mandate code reviews,Implement peer review process,CRA,NIS2,case1,Methodology class diagram
D-07.2,D-07,Secure SDLC Certification,Certified secure software development lifecycle,"secure SDLC,certification,SAMM",Obtain SAMM certification,DORA,HIGH,P1,case1,Methodology class diagram
D-07.3,D-07,Independent Security Testing,Independent security testing by qualified experts,"security testing,pentesting,independent",Conduct annual pentest,NIS2,HIGH,P1,case1,Methodology class diagram
D-07.4,D-07,Supply Chain Security,Security of software supply chain,"supply chain,SBOM,component security",Verify component security,Implement component verification,DORA,HIGH,case1,Methodology class diagram
D-08.1,D-08,Security Awareness,Regular security awareness training for employees,"security training,awareness,phishing",Monthly security awareness training,Implement security training program,NIS2,GDPR,case1,Methodology class diagram
D-08.2,D-08,Role-Based Training,Specialized training for privileged roles,"specialized training,admin,privileged",Annual admin training,Provide specialized admin training,NIS2,MEDIUM,case1,Methodology class diagram
D-08.3,D-08,Security Culture,Fostering security-conscious culture,"security culture,employee engagement,leadership",Foster security culture,Implement security culture program,NIS2,HIGH,case1,Methodology class diagram
D-09.1,D-09,Security Policies,Written security policies and procedures,"policies,procedures,documentation",Document all security policies,Develop comprehensive policies,GDPR,NIS2,case1,Methodology class diagram
D-09.2,D-09,Procedures,Operational procedures for security incidents,"procedures,playbooks,runbooks",Develop incident response playbooks,Document operational procedures,GDPR,NIS2,case1,Methodology class diagram
D-09.3,D-09,Compliance Documentation,Documenting compliance with regulations,"compliance documentation,audit,evidence",Maintain compliance records,Implement compliance tracking,GDPR,NIS2,case1,Methodology class diagram
D-09.4,D-09,Training Documentation,Documenting security training and awareness,"training documentation,attendance,records",Track all training,Maintain training records,GDPR,NIS2,case1,Methodology class diagram
D-10.1,D-10,Security Logging,Logging of security events,"logging,audit trail,retention",Log all security events,Implement comprehensive logging,DORA,NIS2,case1,Methodology class diagram
D-10.2,D-10,Monitoring,Real-time monitoring of security events,"monitoring,SIEM,alerts",Implement real-time monitoring,Use SIEM solution,DORA,NIS2,case1,Methodology class diagram
D-10.3,D-10,Audit Logging,Regular audit logging for compliance,"audit,compliance,reporting",Conduct regular security audits,Implement audit schedule,DORA,NIS2,case1,Methodology class diagram
